PLAYER,TEAM,POS,Defensive Impact Score
Anthony Davis,LAL,C,97.3692184
Victor Wembanyama,SAS,C,96.43920601
Jaren Jackson Jr.,MEM,C,80.68029505
Nikola Jokić,DEN,C,77.73224348
Brook Lopez,MIL,C,73.32609365
Kevin Durant,PHX,PF,91.54965639
LeBron James,LAL,PF,85.91430642
Giannis Antetokounmpo,MIL,PF,85.15474811
Daniel Gafford,DAL,PF,82.45353222
Paul George,LAC,PF,77.5723059
Shai Gilgeous-Alexander,OKC,PG,98.25588371
Fred VanVleet,HOU,PG,90.05244206
Luka Dončić,DAL,PG,89.90242367
De'Aaron Fox,SAC,PG,88.99108823
Tyrese Haliburton,IND,PG,84.20711048
Kawhi Leonard,LAC,SF,100
Miles Bridges,CHA,SF,86.95621398
DeMar DeRozan,CHI,SF,84.72395135
Herbert Jones,NOP,SF,82.22494894
Jaylen Brown,BOS,SF,79.28893696
Alex Caruso,CHI,SG,96.05222995
Dejounte Murray,ATL,SG,90.86723873
Derrick White,BOS,SG,87.43931165
Anthony Edwards,MIN,SG,80.26344647
Kentavious Caldwell-Pope,DEN,SG,79.50908015
